Token	freq	prob
run	8	0.0005708984514379505
sandwiches	2	0.00014272461285948763
wrapped	3	0.00021408691928923143
newspaper	7	0.0004995361450082067
unwrap	1	7.136230642974381e-05
friend	34	0.0024263184186112895
unwrapped	1	7.136230642974381e-05
looked	55	0.00392492685363591
inside	11	0.0007849853707271819
find	10	0.0007136230642974381
leaf	1	7.136230642974381e-05
spinach	1	7.136230642974381e-05
kafka	3	0.00021408691928923143
learned	3	0.00021408691928923143
reading	5	0.00035681153214871903
autobiography	1	7.136230642974381e-05
said	191	0.013630200528081067
americans	1	7.136230642974381e-05
healthy	2	0.00014272461285948763
optimistic	1	7.136230642974381e-05
knock	2	0.00014272461285948763
wood	11	0.0007849853707271819
child	7	0.0004995361450082067
hear	12	0.0008563476771569257
guess	8	0.0005708984514379505
stepfather	2	0.00014272461285948763
summer	13	0.0009277099835866696
old	83	0.005923071433668737
drunk	4	0.00028544922571897526
told	26	0.0018554199671733391
troutfishing	1	7.136230642974381e-05
talk	4	0.00028544922571897526
way	39	0.0027831299507600086
describing	2	0.00014272461285948763
precious	2	0.00014272461285948763
intelligent	4	0.00028544922571897526
metal	9	0.0006422607578676942
silver	3	0.00021408691928923143
good	83	0.005923071433668737
adjective	1	7.136230642974381e-05
describe	2	0.00014272461285948763
felt	8	0.0005708984514379505
right	44	0.0031399414829087276
maybe	11	0.0007849853707271819
steel	6	0.00042817383857846286
clear	11	0.0007849853707271819
snow	15	0.001070434596446157
filled	18	0.0012845215157353885
river	27	0.0019267822736030828
acting	2	0.00014272461285948763
foundry	1	7.136230642974381e-05
heat	1	7.136230642974381e-05
imagine	2	0.00014272461285948763
pittsburgh	2	0.00014272461285948763
comes	6	0.00042817383857846286
buildings	2	0.00014272461285948763
trains	1	7.136230642974381e-05
tunnels	1	7.136230642974381e-05
andrew	1	7.136230642974381e-05
carnegie	1	7.136230642974381e-05
reply	2	0.00014272461285948763
remember	19	0.0013558838221651324
particular	1	7.136230642974381e-05
amusement	1	7.136230642974381e-05
cornered	1	7.136230642974381e-05
hats	2	0.00014272461285948763
dawn	8	0.0005708984514379505
spring	6	0.00042817383857846286
strange	12	0.0008563476771569257
town	20	0.0014272461285948761
portland	2	0.00014272461285948763
walked	16	0.001141796902875901
different	13	0.0009277099835866696
corner	7	0.0004995361450082067
